	factor	influence_score	target_score	G_score	direct_targets	factor_fc	padj	KC2Hep	HSC2Hep	LSEC2Hep	TotalSpec	Newinfluence
58	Ewsr1	0.0689655172413793	11.0597358590561	0.0208717525994572	8	0.0208717525994572	3.25433057370902e-32	NA	NA	NA	0	0.25
59	Ezh2	0.156173687423687	48.2551356734519	0.0295296787994533	215	0.0295296787994533	2.66696531958447e-156	NA	NA	NA	0	0.25
60	Foxa2	0.715448823207444	161.182906572302	0.185049870289904	3206.66666666667	0.185049870289904	6.80500320298053e-182	0	1	1	2	0.607724411603722
61	Foxa3	0.887953401962023	215.970458505313	0.43138206339345	6253.66666666667	0.43138206339345	0	1	1	1	3	0.915965051471517
62	Foxj3	0.0950091575091575	13.5873345699318	0.0426670117477659	67.6666666666667	0.0426670117477659	1.94710577658649e-36	NA	NA	NA	0	0.25
63	Foxk1	0.218338175234727	46.9417363197272	0.0520942217090437	284.666666666667	0.0520942217090437	2.21415604209555e-40	NA	NA	NA	0	0.25
64	Foxk2	0.520620184413288	134.994190840837	0.100414537120738	1802.66666666667	0.100414537120738	2.18184675725701e-45	NA	NA	NA	0	0.25
65	Foxn2	0.250388141551935	51.3617367749011	0.0689667990123274	210.666666666667	0.0689667990123274	3.40935573079007e-59	NA	NA	NA	0	0.25
66	Foxn3	0.104166666666667	0.150646274652152	0.075277162364117	4.33333333333333	0.075277162364117	7.901679673912e-179	NA	NA	NA	0	0.25
67	Foxo1	0.306752873563218	10.9359481875831	0.293509887996963	100	0.30490306279263	0.0199121818762283	NA	NA	NA	0	0.25
68	Foxo3	0.869652856721822	170.565977572177	0.479651565995106	2425	0.479651565995106	4.6103430038747e-96	1	1	1	3	0.902239642541367
69	Foxp1	0.292811355311355	27.3425260477437	0.251295261463172	84.6666666666667	0.251295261463172	7.47896957682633e-07	1	0	0	1	0.323202838827839
70	Foxp2	0.931583143867627	334.889852658173	0.428298641041997	14897.3333333333	0.428298641041997	1.87311744068515e-268	1	1	1	3	0.94868735790072
71	Foxp4	0.644937318428698	187.671713757445	0.10352604638624	4204.33333333333	0.10352604638624	1.74460379080493e-45	NA	NA	NA	0	0.25
72	Foxq1	0.662040545661235	183.7450072613	0.114164423455753	3654.33333333333	0.114164423455753	8.3155762180862e-111	1	0	0	1	0.415510136415309
73	Fubp1	0.0892857142857143	13.3188043075209	0.0362540999914387	9.66666666666667	0.0362540999914387	1.69586213395116e-106	NA	NA	NA	0	0.25
74	Gabpa	0.024904214559387	10.3424261635769	0.00829327002649417	10.6666666666667	0.00829327002649417	7.61478498711793e-27	NA	NA	NA	0	0.25
75	Gabpb1	0.335009578544061	90.2486852819662	0.043394820693287	924.333333333333	0.043394820693287	3.16254250007457e-59	NA	NA	NA	0	0.25
76	Gabpb2	0.412944454970317	79.8531991568249	0.098390717921489	713.333333333333	0.098390717921489	5.28043975154383e-31	NA	NA	NA	0	0.25
77	Gata4	0.282738095238095	140.229156148566	0.0500288529393513	4086.66666666667	0.0500288529393513	0	1	0	0	1	0.320684523809524
78	Gmeb1	0.101266788766789	41.9217514748644	0.015294196567726	154	0.015294196567726	7.50286137103743e-32	NA	NA	NA	0	0.25
79	Gmeb2	0.682896246473833	248.805031525415	0.0977692246440974	6394	0.0977692246440974	6.51547464077253e-82	0	1	0	1	0.420724061618458
80	Gtf2i	0.209821428571429	35.1116152751389	0.0995221212487617	177	0.0995221212487617	0	NA	NA	NA	0	0.25
81	Gzf1	0.158267020335986	12.4047940388299	0.0513437333303474	41.6666666666667	0.0513437333303474	1.62752897929929e-90	NA	NA	NA	0	0.25
82	Hbp1	0.17816091954023	26.3426425322178	0.0277644942871745	180.333333333333	0.0277644942871745	4.28958284560603e-61	NA	NA	NA	0	0.25
83	Herpud1	0.416623247442213	33.6490616378243	0.309280446697786	72.3333333333333	0.309280446697786	1.12627359331282e-55	NA	NA	NA	0	0.25
84	Hinfp	0.103414066776136	28.5610555993532	0.0189127809639645	118.666666666667	0.0189127809639645	2.58897240797257e-41	NA	NA	NA	0	0.25
85	Hivep1	0.450017893983411	106.844580016758	0.0768638981336888	1130.33333333333	0.0768638981336888	1.56004371718085e-46	NA	NA	NA	0	0.25
86	Hivep2	0.436011904761905	90.146848741722	0.149279392831505	867.333333333333	0.149279392831505	1.24568995191959e-171	1	0	0	1	0.359002976190476
87	Hlf	0.916717980295567	308.178571116706	0.395365995795806	10880.3333333333	0.395365995795806	2.64427929412871e-251	1	1	1	3	0.937538485221675
88	Hmbox1	0.0238095238095238	14.9887251958074	0.00166349849309763	29	0.00166349849309763	7.83085476831137e-31	NA	NA	NA	0	0.25
89	Hmg20b	0.101053639846743	11.0723001386176	0.0465128670813689	17.3333333333333	0.0465128670813689	6.4138871035874e-42	NA	NA	NA	0	0.25
90	Hnf1a	0.738170234937476	324.363600111625	0.0920598043340836	11360.6666666667	0.0920598043340836	1.52954978029253e-105	0	1	1	2	0.619085117468738
91	Hnf1b	0.784189349922109	308.441591067049	0.125462828645619	11059	0.125462828645619	6.02159161802847e-136	1	1	1	3	0.838142012441581
92	Hnf4a	0.96055297671677	279.892898893947	0.79973962951416	8372.33333333333	0.79973962951416	0	1	1	1	3	0.970414732537577
93	Hsf1	0.0520833333333333	28.8304902186358	0.00145299230015177	86.3333333333333	0.00145299230015177	1.74648175070512e-38	NA	NA	NA	0	0.25
94	Hsf2	0.356658667003495	30.7861193292167	0.161897835864975	137.666666666667	0.161897835864975	9.87242151844903e-129	NA	NA	NA	0	0.25
95	Id2	0.291187739463601	33.6277567889722	0.200718213042757	331.666666666667	0.200718213042757	0	0	1	0	1	0.3227969348659
96	Irf2	0.475543135025894	56.9962137383081	0.197268601035193	209.333333333333	0.197268601035193	1.37760313386898e-53	NA	NA	NA	0	0.25
97	Irf3	0.0670498084291188	17.081838741161	0.0062003377417654	45	0.0062003377417654	2.88579833916431e-17	NA	NA	NA	0	0.25
98	Irf6	0.224285293250811	43.8257359314237	0.0628574661780749	681.333333333333	0.0628574661780749	4.3890520790475e-101	NA	NA	NA	0	0.25
99	Keap1	0.0383141762452107	12.4771494753187	0.0068728556616061	32	0.0068728556616061	6.43399822535293e-19	NA	NA	NA	0	0.25
100	Klf12	0.783027556734453	169.461771442708	0.806666352289802	4007.33333333333	0.806666352289802	1.12419654933947e-101	1	0	1	2	0.641513778367227
101	Klf13	0.220306513409962	37.4825587294175	0.0287518127766429	384.333333333333	0.0287518127766429	1.00362382700214e-36	NA	NA	NA	0	0.25
102	Klf15	0.789285187992085	160.148071072133	0.282411083139648	1811.33333333333	0.282411083139648	2.36553326927363e-225	1	1	1	3	0.841963890994063
103	Klf9	0.260416666666667	46.981409926822	0.11729972890779	260.333333333333	0.11729972890779	0	1	0	0	1	0.315104166666667
104	Lcor	0.52849748431645	115.16613163228	0.280925929246736	1274	0.280925929246736	4.0090121408587e-13	1	0	1	2	0.514248742158225
105	Mafb	0.0886383731211317	0	0.0484441435647128	1.33333333333333	0.0484441435647128	9.8400332073538e-61	NA	NA	NA	0	0.25
106	Mafg	0.172413793103448	13.5487182121059	0.0556276452995843	77.6666666666667	0.0556276452995843	1.27431495731821e-76	NA	NA	NA	0	0.25
107	Mbd2	0.132440476190476	34.8197763273743	0.0281379811402732	177.666666666667	0.0281379811402732	4.38690900392237e-160	NA	NA	NA	0	0.25
108	Mbd3	0.132183908045977	13.312899245104	0.0303886003190904	70.6666666666667	0.0303886003190904	2.94898708577931e-31	NA	NA	NA	0	0.25
109	Mbtps2	0.0327380952380952	14.1769032614751	0.00892154966370917	17.6666666666667	0.00892154966370917	2.3336947586399e-88	NA	NA	NA	0	0.25
110	Mdfic	0.0535714285714286	21.6195650150792	0.0180328726853842	32	0.0180328726853842	1.29207378237198e-106	NA	NA	NA	0	0.25
111	Mdm2	0.157421003326176	10.6475317286468	0.070371258207945	22.6666666666667	0.070371258207945	8.3355052580987e-57	NA	NA	NA	0	0.25
112	Mdm4	0.0995879120879121	0.575382465154152	0.0640623743950419	9.66666666666667	0.0640623743950419	7.76193947362613e-18	NA	NA	NA	0	0.25
113	Mecp2	0.129273504273504	22.9069813913998	0.0514431027609206	52.6666666666667	0.0514431027609206	0.00464600611222603	NA	NA	NA	0	0.25
114	Meis1	0.0714285714285714	0.519283852619081	0.035002497255467	9.66666666666667	0.035002497255467	0	NA	NA	NA	0	0.25
115	Meis2	0.0580357142857143	0.84993320252992	0.0308815276143463	13	0.0308815276143463	0	NA	NA	NA	0	0.25
116	Mga	0.00446428571428571	0.0551190854395687	0.00351246539099457	3.33333333333333	0.00351246539099457	3.76845593810537e-16	NA	NA	NA	0	0.25
117	Mitf	0.436560565870911	80.7737676941139	0.134556446734629	2158.33333333333	0.134556446734629	1.98612622800727e-111	0	1	0	1	0.359140141467728
118	Mlx	0.447402214643594	136.293320574574	0.0633564465462508	1827.33333333333	0.0633564465462508	1.12410086295284e-15	0	1	0	1	0.361850553660898
119	Mlxipl	0.945479927160962	210.394262448025	1.0263359036252	3445.66666666667	1.0263359036252	3.7118469879318e-298	1	1	1	3	0.959109945370721
120	Mtf1	0.0357484948002189	11.0873897428119	0.0168859621941418	19	0.0168859621941418	1.52819908703546e-34	NA	NA	NA	0	0.25
121	Mxi1	0.324344238137342	86.4046069491778	0.0356081786596463	631.666666666667	0.0356081786596463	1.99283195750479e-52	NA	NA	NA	0	0.25
122	Myef2	0.108630952380952	36.2989524416342	0.0192280345205333	152	0.0192280345205333	9.93950117517977e-286	NA	NA	NA	0	0.25
123	Nab1	0.254002463054187	26.2084780647042	0.100275828515872	41.6666666666667	0.100275828515872	5.14608495843017e-99	NA	NA	NA	0	0.25
124	Nelfe	0.114778061976338	26.1963838119745	0.0321358790714741	104.333333333333	0.0321358790714741	0.0080287743155909	NA	NA	NA	0	0.25
125	Nf1	0.532661782661783	189.925898021402	0.204098393915662	5605.66666666667	0.204098393915662	0	1	0	1	2	0.516330891330891
126	Nfat5	0.208333333333333	35.5091506208152	0.0967267508463637	182	0.0967267508463637	0	NA	NA	NA	0	0.25
127	Nfatc3	0.0639880952380952	0	0.043228083771089	1.66666666666667	0.043228083771089	4.29073029119737e-279	NA	NA	NA	0	0.25
128	Nfe2l2	0.229885057471264	22.2336180789873	0.0697425327208827	153.333333333333	0.0697425327208827	3.14121894934771e-89	NA	NA	NA	0	0.25
129	Nfia	0.503243284493284	133.604967570544	0.505013050155473	3635.33333333333	0.505013050155473	9.43757511582497e-126	1	0	0	1	0.375810821123321
130	Nfib	0.331845238095238	175.431576297977	0.384331168440427	8600	0.384331168440427	0	1	0	0	1	0.33296130952381
131	Nfic	0.233630952380952	66.7092954363192	0.0453116518318297	908.333333333333	0.0453116518318297	0	1	0	0	1	0.308407738095238
132	Nfil3	0.757579944002358	191.559128314269	0.159109184190405	4726	0.159109184190405	1.75373789508647e-136	0	1	1	2	0.628789972001179
133	Nfix	0.375663129973475	129.259643907784	0.141831431105083	2921	0.141831431105083	0.000191044116613633	1	0	0	1	0.343915782493369
134	Nfyb	0.387435002736727	87.3276927651875	0.0648000956257137	1426	0.0648000956257137	6.02772608962747e-75	0	1	0	1	0.346858750684182
135	Nfyc	0.828525641025641	212.601205866451	0.266618176051749	4251.33333333333	0.266618176051749	1.90483664188301e-72	1	1	1	3	0.871394230769231
136	Nmi	0.03125	22.6206942072436	0.000546146464930667	46.3333333333333	0.000546146464930667	1.22825141438423e-17	NA	NA	NA	0	0.25
137	Nr0b2	0.730586343732895	159.187804934539	0.27114256559083	2948	0.27114256559083	7.44463201685867e-256	1	0	0	1	0.432646585933224
138	Nr1d2	0.761519251820976	307.461585267106	0.168137396181424	12628	0.168137396181424	9.9693782862367e-52	1	0	1	2	0.630759625910488
139	Nr1h3	0.577144120247569	186.285740537401	0.245714410300803	8604.66666666667	0.245714410300803	0	0	1	1	2	0.538572060123784
140	Nr1h4	0.662393162393162	294.969129439892	0.933900852197637	13359.6666666667	0.933900852197637	0	1	0	1	2	0.581196581196581
141	Nr1i2	0.871683034398552	208.716660413603	0.486647123574005	4258	0.486647123574005	0	1	1	1	3	0.903762275798914
142	Nr1i3	0.879136667929771	195.75191113547	0.744531388369278	3627.66666666667	0.744531388369278	0	1	1	1	3	0.909352500947328
143	Nr2c1	0.278393541324576	65.9174793129246	0.0620721857227168	261.666666666667	0.0620721857227168	1.3314351983831e-45	NA	NA	NA	0	0.25
144	Nr2c2	0.144612332112332	32.3691577944325	0.0525094262539277	84.3333333333333	0.0525094262539277	0.0119919604539706	NA	NA	NA	0	0.25
145	Nr2c2ap	0.375773651635721	154.373832542778	0.0320701505146513	5878	0.0320701505146513	2.53581333004943e-49	0	1	0	1	0.34394341290893
146	Nr2f2	0.171130952380952	39.7347906367023	0.039105830133238	250	0.039105830133238	0	NA	NA	NA	0	0.25
147	Nr2f6	0.343972359058566	52.3173758723507	0.0969880957518953	289.666666666667	0.0969880957518953	1.41940351334099e-100	NA	NA	NA	0	0.25
148	Nr3c1	0.0461309523809524	18.9550659717075	0.0161937989456892	31	0.0161937989456892	1.32689841565725e-23	NA	NA	NA	0	0.25
149	Nr3c2	0.779646120163362	131.10643418708	0.629813961938139	1757.66666666667	0.629813961938139	2.14145382095421e-46	1	0	1	2	0.639823060081681
150	Nr5a2	0.849310292198223	229.946466336677	0.454137067336962	5401.33333333333	0.454137067336962	0	1	1	0	2	0.674655146099112
