	factor	influence_score	target_score	G_score	direct_targets	factor_fc	padj	KC2LSEC	HSC2LSEC	Hep2LSEC	TotalSpec	Newinfluence
43	Elf1	0.756954019916983	92.1029861777477	0.787679507182099	437.333333333333	0.787679507182099	0	0	1	1	2	0.628477009958492
44	Mef2a	0.748258600110452	171.019302480589	0.441172236463391	3060.33333333333	0.441172236463391	5.6091529346625e-38	0	1	1	2	0.624129300055226
45	Thra	0.739415317193095	137.417331980108	0.324993492308907	1404.66666666667	0.324993492308907	9.67838676602203e-45	1	0	1	2	0.619707658596548
46	Bptf	0.722382555715889	110.213804994174	0.381740408169476	723.333333333333	0.381740408169476	3.43665264932813e-102	1	0	1	2	0.611191277857945
47	Nr2f1	0.721384925088629	151.917045732369	0.245902512552983	2378.33333333333	0.245902512552983	7.78242609386973e-87	1	0	1	2	0.610692462544314
48	Hoxa5	0.711554700443589	118.755025314208	0.299497714863041	928.333333333333	0.299497714863041	6.65576997299267e-262	1	0	1	2	0.605777350221795
49	Cbx3	0.701165090053979	124.588924183962	0.283243450437788	2416	0.283243450437788	1.38279814521475e-193	1	1	0	2	0.600582545026989
50	Ybx1	0.690729161099532	71.5506951976657	0.795082581580265	390	0.795082581580265	0	1	1	0	2	0.595364580549766
51	Erg	0.688085439937292	146.553628011118	0.164572597856111	2512	0.164572597856111	1.3740102913263e-141	1	1	0	2	0.594042719968646
52	Ahr	0.686865123902161	85.5197952271114	0.468960310992001	1283	0.468960310992001	0	1	1	0	2	0.593432561951081
53	Pias4	0.673147702777332	238.069612930714	0.103108834225367	10058.6666666667	0.103108834225367	1.67225473599964e-90	1	1	0	2	0.586573851388666
54	Junb	0.671624534587498	97.7074927223224	0.694311745565496	668.333333333333	0.694311745565496	2.69532625676912e-122	0	1	1	2	0.585812267293749
55	Sox4	0.670024762617355	158.281993959717	0.25318540291123	2686.33333333333	0.25318540291123	2.24897913038028e-31	1	0	1	2	0.585012381308678
56	Nfkbia	0.661097749986639	139.970324855929	0.490357984989585	1403	0.490357984989585	9.77955259524677e-05	0	1	1	2	0.580548874993319
57	Cbx1	0.656412449005042	123.743122491389	0.227801975431522	2365.66666666667	0.227801975431522	1.37074414472408e-159	1	1	0	2	0.578206224502521
58	Klf3	0.627354675502824	83.5442332146996	0.530609468480774	369.666666666667	0.530609468480774	0	0	1	1	2	0.563677337751412
59	Mef2d	0.62447401706661	164.527689880687	0.154878804121354	2732.33333333333	0.154878804121354	3.6285521634871e-104	0	1	1	2	0.562237008533305
60	Gtf3c2	0.606646714054122	121.632987977532	0.190529071986889	1432	0.190529071986889	1.6426884335534e-166	0	1	1	2	0.553323357027061
61	Tfec	0.595492847344699	205.941658262878	0.25653957487683	10270.6666666667	0.25653957487683	0	0	1	1	2	0.54774642367235
62	Maf	0.59002547521066	90.8669145851067	1.94872584085425	738.666666666667	1.94872584085425	0	0	1	1	2	0.54501273760533
63	Nr5a2	0.574458874458875	102.706457142917	0.205755785579048	1921.33333333333	0.205755785579048	1.88122623032078e-249	1	1	0	2	0.537229437229437
64	Tfe3	0.570017636684303	221.377303465932	0.161276850571489	11084.3333333333	0.161276850571489	1.38298309749953e-180	0	1	1	2	0.535008818342152
65	Irf2bp2	0.559180873995689	87.3528939225615	0.420728622836233	791.666666666667	0.420728622836233	0	0	1	1	2	0.529590436997844
66	Tcf4	0.557948087577717	79.638492634711	1.00357468787396	258.333333333333	1.00357468787396	0.00026210859310058	1	0	1	2	0.528974043788859
67	Hoxb4	0.557155327525698	91.3083530829551	0.292374997827688	943.666666666667	0.292374997827688	1.346425563906e-114	1	0	1	2	0.528577663762849
68	Irf8	0.552498530276308	100.746885334393	0.298568145496744	903.666666666667	0.298568145496744	0	0	1	1	2	0.526249265138154
69	Klf6	0.541250244953949	115.780963247703	0.276531619905059	1396	0.276531619905059	1.3303461762622e-137	0	1	1	2	0.520625122476974
70	Nfkbiz	0.503782088967274	118.709861915001	0.136942319917467	1363.33333333333	0.136942319917467	2.36138083664024e-49	0	1	1	2	0.501891044483637
71	Klf7	0.756118504266653	104.336189913504	1.37136854246928	912	1.37136854246928	0	0	0	1	1	0.439029626066663
72	Mbd2	0.730800064133397	141.31113591123	0.266093361475868	2445.66666666667	0.266093361475868	5.76731671455647e-41	1	0	0	1	0.432700016033349
73	Klf13	0.720038123741828	108.506368693846	0.341187512716855	572.333333333333	0.341187512716855	7.11202214214273e-294	0	1	0	1	0.430009530935457
74	Klf2	0.718393814690111	134.758146890603	1.29450571822092	2340.66666666667	1.29450571822092	0	0	0	1	1	0.429598453672528
75	Smad1	0.716304134822653	126.461377066439	0.239314444311542	936	0.239314444311542	1.01646582492772e-128	0	1	0	1	0.429076033705663
76	Bach1	0.697970890563483	121.98607284318	0.274632980499354	1347.66666666667	0.274632980499354	0	0	1	0	1	0.424492722640871
77	Mbd3	0.686621060695135	145.146407948321	0.168443894685014	2535.33333333333	0.168443894685014	1.79086344245936e-168	0	1	0	1	0.421655265173784
78	Epas1	0.678533126681275	60.066975892297	1.26903795604076	617.333333333333	1.26903795604076	0	1	0	0	1	0.419633281670319
79	Fos	0.665663691589618	72.9086277511556	0.873862704328645	220	0.873862704328645	0	0	1	0	1	0.416415922897404
80	Nkap	0.661616161616162	140.617958367531	0.164880080292108	1406.33333333333	0.164880080292108	8.84561214656277e-124	0	1	0	1	0.41540404040404
81	Nfkbil1	0.642495501754761	147.36679040415	0.148164963491592	1705.33333333333	0.148164963491592	4.6924371363247e-118	0	1	0	1	0.41062387543869
82	Nfic	0.639224698483958	94.5388355040336	0.583339550806771	1485.66666666667	0.583339550806771	2.25942006956701e-180	1	0	0	1	0.409806174620989
83	Fli1	0.630148041259152	142.576120328211	0.4193795674334	2823	0.4193795674334	5.85294704132833e-244	0	0	1	1	0.407537010314788
84	Hic1	0.624915824915825	109.892731826975	0.236957156490447	742.333333333333	0.236957156490447	4.670851100016e-102	0	0	1	1	0.406228956228956
85	Pura	0.624605846828069	60.7037142764743	0.557635922338298	268.666666666667	0.557635922338298	1.4486532716815e-301	1	0	0	1	0.406151461707017
86	Fosb	0.622913437728253	88.0137500181677	0.497288393457434	578.333333333333	0.497288393457434	1.71566966743296e-141	0	0	1	1	0.405728359432063
87	Rad21	0.622532200309978	88.7157221334644	0.347347940504901	1178.33333333333	0.347347940504901	0	1	0	0	1	0.405633050077495
88	Smad4	0.610909803502396	97.1843999885967	0.284413087481648	740	0.284413087481648	2.24257104130257e-132	1	0	0	1	0.402727450875599
89	Creb3l2	0.609249461101313	103.505674956559	0.309568358649164	462.333333333333	0.309568358649164	1.48772001744274e-76	1	0	0	1	0.402312365275328
90	Hlx	0.606839114246522	95.5400322267282	0.493707092529849	1757.66666666667	0.493707092529849	4.8803764320786e-216	0	0	1	1	0.40170977856163
91	E2f4	0.603666292555181	121.205965118965	0.163195155434218	820.666666666667	0.163195155434218	2.66978288190678e-154	0	1	0	1	0.400916573138795
