	factor	influence_score	target_score	G_score	direct_targets	factor_fc	padj	HSC2KC	LSEC2KC	Hep2KC	TotalSpec	Newinfluence
121	Mbd1	0.0123456790123457	0.474537025986782	0.0055103453892845	5.33333333333333	0.0055103453892845	7.50242574791143e-12	NA	NA	NA	0	0.25
122	Mbd3	0.129990889956963	27.8173997203034	0.061453126144957	97.3333333333333	0.061453126144957	9.9447524669982e-18	NA	NA	NA	0	0.25
123	Mdm2	0.0229007633587786	25.7690673123905	0.00851922501484157	97.6666666666667	0.00851922501484157	5.85645873800143e-18	NA	NA	NA	0	0.25
124	Mef2d	0.290751735620268	151.736398732888	0.00989162413705583	3910	0.0229438375317122	0.0856723984451595	NA	NA	NA	0	0.25
125	Mlxip	0.125514403292181	45.0387356167345	0.0336623503252037	323.333333333333	0.0336623503252037	1.80453867195433e-145	NA	NA	NA	0	0.25
126	Mnt	0.199352872804951	77.8217185224977	0.0454394814250214	527.666666666667	0.0454394814250214	3.10149894627596e-35	NA	NA	NA	0	0.25
127	Mxi1	0.38112776050011	120.86192652114	0.0480217142691833	719	0.0480217142691833	7.2428615619727e-11	NA	NA	NA	0	0.25
128	Myc	0.457143844438162	109.272975513709	0.111605191154373	937.333333333333	0.111605191154373	4.9868056563312e-62	NA	NA	NA	0	0.25
129	Nab2	0.338269720101781	100.114422031448	0.0631705897616801	946.333333333333	0.0631705897616801	5.51680114180203e-38	NA	NA	NA	0	0.25
130	Nelfe	0.0687022900763359	27.4566370950733	0.0202724142291721	92	0.0202724142291721	3.90588042808347e-26	NA	NA	NA	0	0.25
131	Nfatc1	0.127619137373166	39.3843931236279	0.0530313963264807	279	0.0530313963264807	1.80789829289977e-55	NA	NA	NA	0	0.25
132	Nfe2l1	0.205368642603587	69.7437688227471	0.0637654823534256	400	0.0637654823534256	4.1774057535848e-16	NA	NA	NA	0	0.25
133	Nfe2l2	0.231991958030974	61.4205017528066	0.100900386884862	278.666666666667	0.100900386884862	0.00143181195662587	NA	NA	NA	0	0.25
134	Nfkb1	0.197468036314516	29.3608119431593	0.151931365965559	148	0.151931365965559	3.85185320892103e-20	NA	NA	NA	0	0.25
135	Nfkbib	0.408506895360161	140.121972258634	0.0512241140327619	3013.33333333333	0.0512241140327619	1.25842643799756e-59	NA	NA	NA	0	0.25
136	Nfya	0.421559388056419	107.251227062561	0.0765788092715972	1284.33333333333	0.0765788092715972	3.29604834965925e-42	NA	NA	NA	0	0.25
137	Nkap	0.233248515691264	116.877861260403	0.00557134321417537	1573	0.0125873844400231	0.317270661234841	NA	NA	NA	0	0.25
138	Nr1d2	0.186666666666667	30.7566956517669	0.0300148339618316	405.333333333333	0.0300148339618316	1.26277564042529e-277	NA	NA	NA	0	0.25
139	Nr1h2	0.119765651996356	51.2734970972421	0.0629533066866991	175.333333333333	0.0629533066866991	7.22789331804623e-29	NA	NA	NA	0	0.25
140	Nr2c2ap	0.179949109414758	58.3204038523969	0.0500949446560911	405.333333333333	0.059107341726811	0.167542119897814	NA	NA	NA	0	0.25
141	Nr2f6	0.0279898218829517	1.63980601160612	0.0178730845298109	19.3333333333333	0.0178730845298109	1.4418706601714e-12	NA	NA	NA	0	0.25
142	Nr4a1	0.102222222222222	3.17287307791368	0.0720947803990287	30.6666666666667	0.0720947803990287	0	NA	NA	NA	0	0.25
143	Nrbf2	0.0661577608142494	22.5114870179096	0.0308004603436894	50.6666666666667	0.0308004603436894	1.30566830841366e-47	NA	NA	NA	0	0.25
144	Pbx2	0.379700310998021	82.9950187560013	0.103407921212684	865.333333333333	0.103407921212684	3.26132716077276e-61	NA	NA	NA	0	0.25
145	Pias1	0.037037037037037	14.7616232378962	0.0220710957818756	63.3333333333333	0.0220710957818756	1.35401893147642e-16	NA	NA	NA	0	0.25
146	Pknox1	0.100917287092011	54.3886367337392	0.0051752437153159	419	0.0051752437153159	2.59935160285155e-06	NA	NA	NA	0	0.25
147	Plagl2	0.396835359532561	105.891008081347	0.095429108275093	1021.66666666667	0.095429108275093	1.25891653981663e-78	NA	NA	NA	0	0.25
148	Polr2a	0.291555304244023	81.9005144514873	0.10844780182337	461	0.10844780182337	0.000350033278841003	NA	NA	NA	0	0.25
149	Polr3gl	0.204551880124399	87.5162354119768	0.0321538581932619	788.666666666667	0.0321538581932619	1.94384853959417e-15	NA	NA	NA	0	0.25
150	Pten	0.16	23.5477250144219	0.0702800944683893	184.666666666667	0.0702800944683893	9.20633928302693e-286	NA	NA	NA	0	0.25
151	Pura	0.0226337448559671	28.9587609533986	0	127.333333333333	0.0159604212402953	0.178721667899715	NA	NA	NA	0	0.25
152	Rara	0.0390946502057613	27.7980546374443	0.0165266995749275	113.666666666667	0.0165266995749275	4.6255918547008e-06	NA	NA	NA	0	0.25
153	Rela	0.352480130681997	116.525500070033	0.057144830073786	1544.33333333333	0.057144830073786	2.28279040068763e-07	NA	NA	NA	0	0.25
154	Rest	0.0986554833034901	44.6586747475844	0.0281395093241587	377.333333333333	0.0281395093241587	1.18034459427828e-08	NA	NA	NA	0	0.25
155	Rxra	0.438501554990105	37.0141428062328	0.400726560485466	167	0.400726560485466	5.92962812545633e-171	NA	NA	NA	0	0.25
156	Rxrb	0.13930512361386	44.192685489685	0.0554383118553804	162	0.0554383118553804	2.23755263157102e-23	NA	NA	NA	0	0.25
157	Scap	0.0444444444444444	25.3613195784741	0.0012021723276848	212.666666666667	0.0012021723276848	0.000835498614834817	NA	NA	NA	0	0.25
158	Setdb1	0.0266666666666667	13.3239024540976	0.0149004853269178	64	0.0149004853269178	7.54211987521503e-18	NA	NA	NA	0	0.25
159	Smad1	0.25913360349323	77.9020857469655	0.0725986024703087	488.333333333333	0.0725986024703087	2.26446858103142e-14	NA	NA	NA	0	0.25
160	Smad2	0.106666666666667	34.8798757694284	0	378.333333333333	0.00372172357091633	0.06889087373837	NA	NA	NA	0	0.25
161	Smad5	0.0740740740740741	35.7490487726723	0.0254333436835629	183.666666666667	0.0254333436835629	2.45811905753233e-14	NA	NA	NA	0	0.25
162	Smarca5	0.102330914459837	56.3452513928609	0.0401780504480217	227.666666666667	0.0401780504480217	7.49209335989371e-08	NA	NA	NA	0	0.25
163	Smarcc1	0.0686005089058524	48.2279313211216	0.0196886029300571	239.666666666667	0.0196886029300571	2.61368142055929e-08	NA	NA	NA	0	0.25
164	Smarcc2	0.0185185185185185	26.2782460635114	0.0017465180404898	94	0.0017465180404898	1.31659859485062e-22	NA	NA	NA	0	0.25
165	Sp1	0.144676907611598	63.8352632800163	0.0523809458812611	291.333333333333	0.0523809458812611	3.2928338558577e-08	NA	NA	NA	0	0.25
166	Sp140	0.411623158357679	101.388437325227	0.130499480499172	957.333333333333	0.130499480499172	4.06353686280107e-78	NA	NA	NA	0	0.25
167	Srebf2	0.101781170483461	44.0474662494389	0.00975006429719197	397.333333333333	0.00975006429719197	6.6223686365844e-12	NA	NA	NA	0	0.25
168	Srf	0.244196274306537	89.4846040588809	0.0479859684612081	774	0.0479859684612081	9.25446800989487e-12	NA	NA	NA	0	0.25
169	Stat2	0.0844444444444444	24.5764128555659	0.0197117464477051	175.666666666667	0.0197117464477051	1.13970619753969e-14	NA	NA	NA	0	0.25
170	Tcf20	0.0577777777777778	30.2245552999616	0	377.666666666667	0.00526043403111727	0.0838385953937373	NA	NA	NA	0	0.25
